product_id,periodo,cat1,cat2,cat3,brand,sku_size,stock_final,tn,plan_precios_cuidados,cust_request_qty,cust_request_tn
20524,201701,HC,VAJILLA,Cristalino,Importado,500,,6.48085,0.0,148.0,6.48085
20524,201702,HC,VAJILLA,Cristalino,Importado,500,,3.99755,0.0,121.0,3.99755
20524,201703,HC,VAJILLA,Cristalino,Importado,500,,7.14711,0.0,119.0,7.14711
20524,201704,HC,VAJILLA,Cristalino,Importado,500,,6.82163,0.0,124.0,6.82163
20524,201705,HC,VAJILLA,Cristalino,Importado,500,,9.25949,0.0,161.0,9.25949
20524,201706,HC,VAJILLA,Cristalino,Importado,500,,7.04113,0.0,193.0,7.04113
20524,201707,HC,VAJILLA,Cristalino,Importado,500,,5.92819,0.0,114.0,5.92819
20524,201708,HC,VAJILLA,Cristalino,Importado,500,,6.09476,0.0,126.0,6.09476
20524,201709,HC,VAJILLA,Cristalino,Importado,500,,7.2077,0.0,161.0,7.2077
20524,201710,HC,VAJILLA,Cristalino,Importado,500,,10.68287,0.0,176.0,10.68287
20524,201711,HC,VAJILLA,Cristalino,Importado,500,,7.82857,0.0,149.0,7.82857
20524,201712,HC,VAJILLA,Cristalino,Importado,500,,9.25196,0.0,101.0,9.25196
20524,201801,HC,VAJILLA,Cristalino,Importado,500,,7.132,0.0,151.0,7.132
20524,201802,HC,VAJILLA,Cristalino,Importado,500,,8.33586,0.0,116.0,8.33586
20524,201803,HC,VAJILLA,Cristalino,Importado,500,,8.44937,0.0,204.0,8.44937
20524,201804,HC,VAJILLA,Cristalino,Importado,500,,7.60902,0.0,146.0,7.60902
20524,201805,HC,VAJILLA,Cristalino,Importado,500,,9.01727,0.0,132.0,9.01727
20524,201806,HC,VAJILLA,Cristalino,Importado,500,,7.76802,0.0,164.0,7.76802
20524,201807,HC,VAJILLA,Cristalino,Importado,500,,7.01084,0.0,131.0,7.01084
20524,201808,HC,VAJILLA,Cristalino,Importado,500,,9.11564,0.0,186.0,9.11564
20524,201809,HC,VAJILLA,Cristalino,Importado,500,,10.88731,0.0,158.0,10.88731
20524,201810,HC,VAJILLA,Cristalino,Importado,500,1.61267,9.69105,0.0,151.0,9.69105
20524,201811,HC,VAJILLA,Cristalino,Importado,500,13.65087,0.9388000000000001,0.0,29.0,0.9388000000000001
